gwid,statename,from,to,group,groupid,gwgroupid,umbrella,size,status,reg_aut
500,Uganda,1986,1989,Teso,9210,50009210,50009200,0.08,DISCRIMINATED,false
500,Uganda,1986,1989,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",9110,50009110,50009100,0.079,IRRELEVANT,
500,Uganda,1986,1989,Karamojong,7000,50007000,,0.02,IRRELEVANT,
500,Uganda,1986,1989,Asians,1000,50001000,,0.005,IRRELEVANT,
500,Uganda,1990,2005,Baganda,2000,50002000,,0.16,JUNIOR PARTNER,false
500,Uganda,1990,2005,"South-Westerners (Ankole, Banyoro, Toro)",11090,50011090,50011000,0.141,SENIOR PARTNER,false
500,Uganda,1990,2005,Langi/Acholi,9120,50009120,50009100,0.1,DISCRIMINATED,false
500,Uganda,1990,2005,Basoga,4000,50004000,,0.08,JUNIOR PARTNER,false
500,Uganda,1990,2005,Teso,9210,50009210,50009200,0.08,DISCRIMINATED,false
500,Uganda,1990,2005,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",9110,50009110,50009100,0.079,IRRELEVANT,
500,Uganda,1990,2005,Banyarwanda,11030,50011030,50011000,0.059,DISCRIMINATED,false
500,Uganda,1990,2005,Karamojong,7000,50007000,,0.02,IRRELEVANT,
500,Uganda,1990,2005,Asians,1000,50001000,,0.005,IRRELEVANT,
500,Uganda,2006,2017,Baganda,2000,50002000,,0.16,JUNIOR PARTNER,false
500,Uganda,2006,2017,"South-Westerners (Ankole, Banyoro, Toro)",11090,50011090,50011000,0.141,SENIOR PARTNER,false
500,Uganda,2006,2017,Langi/Acholi,9120,50009120,50009100,0.1,POWERLESS,false
500,Uganda,2006,2017,Basoga,4000,50004000,,0.08,JUNIOR PARTNER,false
500,Uganda,2006,2017,Teso,9210,50009210,50009200,0.08,POWERLESS,false
500,Uganda,2006,2017,"Far North-West Nile (Kakwa-Nubian, Madi, Lugbara, Alur)",9110,50009110,50009100,0.079,IRRELEVANT,
500,Uganda,2006,2017,Banyarwanda,11030,50011030,50011000,0.059,DISCRIMINATED,false
500,Uganda,2006,2017,Karamojong,7000,50007000,,0.02,IRRELEVANT,
500,Uganda,2006,2017,Asians,1000,50001000,,0.005,IRRELEVANT,
501,Kenya,1963,1966,Kikuyu-Meru-Emb,3000,50103000,,0.27,SENIOR PARTNER,false
501,Kenya,1963,1966,Kalenjin-Masai-Turkana-Samburu,1000,50101000,,0.15,JUNIOR PARTNER,false
501,Kenya,1963,1966,Luhya,5000,50105000,,0.14,JUNIOR PARTNER,false
501,Kenya,1963,1966,Luo,6000,50106000,,0.12,JUNIOR PARTNER,false
501,Kenya,1963,1966,Kamba,2000,50102000,,0.11,JUNIOR PARTNER,false
501,Kenya,1963,1966,Kisii,4000,50104000,,0.06,JUNIOR PARTNER,false
501,Kenya,1963,1966,Mijikenda,7000,50107000,,0.05,POWERLESS,false
501,Kenya,1963,1966,Somali,8000,50108000,,0.02,DISCRIMINATED,false
501,Kenya,1967,1978,Kikuyu-Meru-Emb,3000,50103000,,0.27,SENIOR PARTNER,false
501,Kenya,1967,1978,Kalenjin-Masai-Turkana-Samburu,1000,50101000,,0.15,JUNIOR PARTNER,false
501,Kenya,1967,1978,Luhya,5000,50105000,,0.14,JUNIOR PARTNER,false
501,Kenya,1967,1978,Luo,6000,50106000,,0.12,DISCRIMINATED,false
501,Kenya,1967,1978,Kamba,2000,50102000,,0.11,JUNIOR PARTNER,false
501,Kenya,1967,1978,Kisii,4000,50104000,,0.06,JUNIOR PARTNER,false
501,Kenya,1967,1978,Mijikenda,7000,50107000,,0.05,POWERLESS,false
501,Kenya,1967,1978,Somali,8000,50108000,,0.02,DISCRIMINATED,false
501,Kenya,1979,2002,Kikuyu-Meru-Emb,3000,50103000,,0.27,DISCRIMINATED,false
501,Kenya,1979,2002,Kalenjin-Masai-Turkana-Samburu,1000,50101000,,0.15,SENIOR PARTNER,false
501,Kenya,1979,2002,Luhya,5000,50105000,,0.14,JUNIOR PARTNER,false
501,Kenya,1979,2002,Luo,6000,50106000,,0.12,DISCRIMINATED,false
501,Kenya,1979,2002,Kamba,2000,50102000,,0.11,JUNIOR PARTNER,false
501,Kenya,1979,2002,Kisii,4000,50104000,,0.06,JUNIOR PARTNER,false
501,Kenya,1979,2002,Mijikenda,7000,50107000,,0.05,JUNIOR PARTNER,false
501,Kenya,1979,2002,Somali,8000,50108000,,0.02,DISCRIMINATED,false
501,Kenya,2003,2005,Kikuyu-Meru-Emb,3000,50103000,,0.27,SENIOR PARTNER,false
501,Kenya,2003,2005,Kalenjin-Masai-Turkana-Samburu,1000,50101000,,0.15,JUNIOR PARTNER,false
501,Kenya,2003,2005,Luhya,5000,50105000,,0.14,JUNIOR PARTNER,false
501,Kenya,2003,2005,Luo,6000,50106000,,0.12,JUNIOR PARTNER,false
501,Kenya,2003,2005,Kamba,2000,50102000,,0.11,JUNIOR PARTNER,false
501,Kenya,2003,2005,Kisii,4000,50104000,,0.06,POWERLESS,false
501,Kenya,2003,2005,Mijikenda,7000,50107000,,0.05,JUNIOR PARTNER,false
501,Kenya,2003,2005,Somali,8000,50108000,,0.02,IRRELEVANT,
501,Kenya,2006,2007,Kikuyu-Meru-Emb,3000,50103000,,0.27,SENIOR PARTNER,false
501,Kenya,2006,2007,Kalenjin-Masai-Turkana-Samburu,1000,50101000,,0.15,JUNIOR PARTNER,false
501,Kenya,2006,2007,Luhya,5000,50105000,,0.14,JUNIOR PARTNER,false
501,Kenya,2006,2007,Luo,6000,50106000,,0.12,DISCRIMINATED,false
501,Kenya,2006,2007,Kamba,2000,50102000,,0.11,JUNIOR PARTNER,false
501,Kenya,2006,2007,Kisii,4000,50104000,,0.06,POWERLESS,false
501,Kenya,2006,2007,Mijikenda,7000,50107000,,0.05,JUNIOR PARTNER,false
501,Kenya,2006,2007,Somali,8000,50108000,,0.02,IRRELEVANT,
501,Kenya,2008,2011,Kikuyu-Meru-Emb,3000,50103000,,0.27,SENIOR PARTNER,false
501,Kenya,2008,2011,Kalenjin-Masai-Turkana-Samburu,1000,50101000,,0.15,JUNIOR PARTNER,false
501,Kenya,2008,2011,Luhya,5000,50105000,,0.14,JUNIOR PARTNER,false
501,Kenya,2008,2011,Luo,6000,50106000,,0.12,SENIOR PARTNER,false
501,Kenya,2008,2011,Kamba,2000,50102000,,0.11,JUNIOR PARTNER,false
501,Kenya,2008,2011,Kisii,4000,50104000,,0.06,JUNIOR PARTNER,false
501,Kenya,2008,2011,Mijikenda,7000,50107000,,0.05,JUNIOR PARTNER,false
501,Kenya,2008,2011,Somali,8000,50108000,,0.02,IRRELEVANT,
501,Kenya,2012,2013,Kikuyu-Meru-Emb,3000,50103000,,0.27,SENIOR PARTNER,false
501,Kenya,2012,2013,Kalenjin-Masai-Turkana-Samburu,1000,50101000,,0.15,JUNIOR PARTNER,false
501,Kenya,2012,2013,Luhya,5000,50105000,,0.14,JUNIOR PARTNER,false
501,Kenya,2012,2013,Luo,6000,50106000,,0.12,SENIOR PARTNER,false
501,Kenya,2012,2013,Kamba,2000,50102000,,0.11,JUNIOR PARTNER,false
501,Kenya,2012,2013,Kisii,4000,50104000,,0.06,JUNIOR PARTNER,false
501,Kenya,2012,2013,Mijikenda,7000,50107000,,0.05,JUNIOR PARTNER,false
501,Kenya,2012,2013,Somali,8000,50108000,,0.02,DISCRIMINATED,false
501,Kenya,2014,2017,Kikuyu-Meru-Emb,3000,50103000,,0.27,SENIOR PARTNER,false
501,Kenya,2014,2017,Kalenjin-Masai-Turkana-Samburu,1000,50101000,,0.15,SENIOR PARTNER,false
501,Kenya,2014,2017,Luhya,5000,50105000,,0.14,JUNIOR PARTNER,false
501,Kenya,2014,2017,Luo,6000,50106000,,0.12,JUNIOR PARTNER,false
501,Kenya,2014,2017,Kamba,2000,50102000,,0.11,JUNIOR PARTNER,false
501,Kenya,2014,2017,Kisii,4000,50104000,,0.06,JUNIOR PARTNER,false
501,Kenya,2014,2017,Mijikenda,7000,50107000,,0.05,JUNIOR PARTNER,false
501,Kenya,2014,2017,Somali,8000,50108000,,0.02,DISCRIMINATED,false
510,Tanzania,1961,1964,Mainland Africans,1000,51001000,,0.964,IRRELEVANT,
510,Tanzania,1961,1964,Maasai,4000,51004000,,0.013,IRRELEVANT,
510,Tanzania,1965,1984,Mainland Africans,1000,51001000,,0.964,DOMINANT,
510,Tanzania,1965,1984,Shirazi (Zanzibar Africans),2000,51002000,,0.018,POWERLESS,true
510,Tanzania,1965,1984,Maasai,4000,51004000,,0.013,IRRELEVANT,
510,Tanzania,1965,1984,Zanzibar Arabs,3000,51003000,,0.005,DISCRIMINATED,false
510,Tanzania,1985,1991,Mainland Africans,1000,51001000,,0.964,DOMINANT,
510,Tanzania,1985,1991,Shirazi (Zanzibar Africans),2000,51002000,,0.018,POWERLESS,true
510,Tanzania,1985,1991,Maasai,4000,51004000,,0.013,IRRELEVANT,
510,Tanzania,1985,1991,Zanzibar Arabs,3000,51003000,,0.005,POWERLESS,false
510,Tanzania,1992,2009,Mainland Africans,1000,51001000,,0.964,DOMINANT,
510,Tanzania,1992,2009,Shirazi (Zanzibar Africans),2000,51002000,,0.018,POWERLESS,true
510,Tanzania,1992,2009,Maasai,4000,51004000,,0.013,POWERLESS,false
510,Tanzania,1992,2009,Zanzibar Arabs,3000,51003000,,0.005,POWERLESS,false
510,Tanzania,2010,2017,Others Mainland (Christians and traditional religions),1010,51001010,51001000,0.603,SENIOR PARTNER,false
510,Tanzania,2010,2017,Mainland Muslims,1020,51001020,51001000,0.361,JUNIOR PARTNER,false
510,Tanzania,2010,2017,Shirazi (Zanzibar Africans),2000,51002000,,0.018,POWERLESS,true
510,Tanzania,2010,2017,Maasai,4000,51004000,,0.013,POWERLESS,false
510,Tanzania,2010,2017,Zanzibar Arabs,3000,51003000,,0.005,POWERLESS,false
511,Zanzibar,1963,1964,Shirazi (Zanzibar Africans),1000,51101000,,0.56,DISCRIMINATED,false
511,Zanzibar,1963,1964,Zanzibar Arabs,2000,51102000,,0.17,MONOPOLY,
516,Burundi,1962,1965,Hutu,1000,51601000,,0.85,SENIOR PARTNER,false
516,Burundi,1962,1965,Tutsi,2000,51602000,,0.14,SENIOR PARTNER,false
516,Burundi,1966,1988,Hutu,1000,51601000,,0.85,DISCRIMINATED,false
516,Burundi,1966,1988,Tutsi,2000,51602000,,0.14,DOMINANT,
516,Burundi,1989,1993,Hutu,1000,51601000,,0.85,JUNIOR PARTNER,false
516,Burundi,1989,1993,Tutsi,2000,51602000,,0.14,SENIOR PARTNER,false
516,Burundi,1994,2001,Hutu,1000,51601000,,0.85,POWERLESS,false
516,Burundi,1994,2001,Tutsi,2000,51602000,,0.14,DOMINANT,
516,Burundi,2002,2005,Hutu,1000,51601000,,0.85,SENIOR PARTNER,false
516,Burundi,2002,2005,Tutsi,2000,51602000,,0.14,SENIOR PARTNER,false
516,Burundi,2006,2017,Hutu,1000,51601000,,0.85,SENIOR PARTNER,false
516,Burundi,2006,2017,Tutsi,2000,51602000,,0.14,JUNIOR PARTNER,false
517,Rwanda,1962,1994,Hutu,1000,51701000,,0.84,MONOPOLY,
517,Rwanda,1962,1994,Tutsi,2000,51702000,,0.15,DISCRIMINATED,false
517,Rwanda,1995,2000,Hutu,1000,51701000,,0.84,DISCRIMINATED,false
517,Rwanda,1995,2000,Tutsi,2000,51702000,,0.15,DOMINANT,
517,Rwanda,2001,2017,Hutu,1000,51701000,,0.84,POWERLESS,false
517,Rwanda,2001,2017,Tutsi,2000,51702000,,0.15,DOMINANT,
520,Somalia,1960,2017,Somali,1000,52001000,,1,IRRELEVANT,
522,Djibouti,1977,1977,Isaas (Somali),1000,52201000,,0.55,SENIOR PARTNER,false
522,Djibouti,1977,1977,Afar,2000,52202000,,0.36,JUNIOR PARTNER,false
522,Djibouti,1978,1994,Isaas (Somali),1000,52201000,,0.55,DOMINANT,
522,Djibouti,1978,1994,Afar,2000,52202000,,0.36,POWERLESS,false
522,Djibouti,1995,2017,Isaas (Somali),1000,52201000,,0.55,SENIOR PARTNER,false
522,Djibouti,1995,2017,Afar,2000,52202000,,0.36,JUNIOR PARTNER,false
530,Ethiopia,1946,1951,Oroma,6000,53006000,,0.2907,DISCRIMINATED,false
530,Ethiopia,1946,1951,Amhara,2000,53002000,,0.2829,DOMINANT,
530,Ethiopia,1946,1951,Other Southern Nations,7000,53007000,,0.2024,IRRELEVANT,
530,Ethiopia,1946,1951,Tigry,9000,53009000,,0.0608,DISCRIMINATED,false
530,Ethiopia,1946,1951,Beni-Shugal-Gumez,3000,53003000,,0.05,IRRELEVANT,
530,Ethiopia,1946,1951,Somali (Ogaden),8000,53008000,,0.0379,DISCRIMINATED,false
530,Ethiopia,1946,1951,Christian Eritreans,10000,53010000,,0.03,IRRELEVANT,
530,Ethiopia,1946,1951,Muslim Eritreans,11000,53011000,,0.03,IRRELEVANT,
530,Ethiopia,1946,1951,Afar,1000,53001000,,0.0137,DISCRIMINATED,false
530,Ethiopia,1946,1951,Anuak,12000,53012000,,0.0007,IRRELEVANT,
530,Ethiopia,1946,1951,Harari,5000,53005000,,0.0004,IRRELEVANT,
530,Ethiopia,1952,1990,Oroma,6000,53006000,,0.2907,DISCRIMINATED,false
530,Ethiopia,1952,1990,Amhara,2000,53002000,,0.2829,DOMINANT,
530,Ethiopia,1952,1990,Other Southern Nations,7000,53007000,,0.2024,IRRELEVANT,
530,Ethiopia,1952,1990,Tigry,9000,53009000,,0.0608,DISCRIMINATED,false
530,Ethiopia,1952,1990,Beni-Shugal-Gumez,3000,53003000,,0.05,IRRELEVANT,
530,Ethiopia,1952,1990,Somali (Ogaden),8000,53008000,,0.0379,DISCRIMINATED,false
530,Ethiopia,1952,1990,Christian Eritreans,10000,53010000,,0.03,DISCRIMINATED,false
530,Ethiopia,1952,1990,Muslim Eritreans,11000,53011000,,0.03,DISCRIMINATED,false
530,Ethiopia,1952,1990,Afar,1000,53001000,,0.0137,DISCRIMINATED,false
530,Ethiopia,1952,1990,Anuak,12000,53012000,,0.0007,IRRELEVANT,
530,Ethiopia,1952,1990,Harari,5000,53005000,,0.0004,IRRELEVANT,
530,Ethiopia,1991,1991,Oroma,6000,53006000,,0.2907,DISCRIMINATED,false
530,Ethiopia,1991,1991,Amhara,2000,53002000,,0.2829,DOMINANT,
530,Ethiopia,1991,1991,Other Southern Nations,7000,53007000,,0.2024,IRRELEVANT,
530,Ethiopia,1991,1991,Tigry,9000,53009000,,0.0608,DISCRIMINATED,false
530,Ethiopia,1991,1991,Beni-Shugal-Gumez,3000,53003000,,0.05,IRRELEVANT,
530,Ethiopia,1991,1991,Somali (Ogaden),8000,53008000,,0.0379,DISCRIMINATED,false
530,Ethiopia,1991,1991,Christian Eritreans,10000,53010000,,0.03,SELF-EXCLUSION,true
530,Ethiopia,1991,1991,Muslim Eritreans,11000,53011000,,0.03,SELF-EXCLUSION,true
530,Ethiopia,1991,1991,Afar,1000,53001000,,0.0137,DISCRIMINATED,false
530,Ethiopia,1991,1991,Anuak,12000,53012000,,0.0007,IRRELEVANT,
530,Ethiopia,1991,1991,Harari,5000,53005000,,0.0004,IRRELEVANT,
530,Ethiopia,1992,1993,Oroma,6000,53006000,,0.2907,JUNIOR PARTNER,false
530,Ethiopia,1992,1993,Amhara,2000,53002000,,0.2829,JUNIOR PARTNER,false
530,Ethiopia,1992,1993,Other Southern Nations,7000,53007000,,0.2024,IRRELEVANT,
530,Ethiopia,1992,1993,Tigry,9000,53009000,,0.0608,SENIOR PARTNER,false
530,Ethiopia,1992,1993,Beni-Shugal-Gumez,3000,53003000,,0.05,IRRELEVANT,
530,Ethiopia,1992,1993,Somali (Ogaden),8000,53008000,,0.0379,DISCRIMINATED,false
530,Ethiopia,1992,1993,Christian Eritreans,10000,53010000,,0.03,SELF-EXCLUSION,true
530,Ethiopia,1992,1993,Muslim Eritreans,11000,53011000,,0.03,SELF-EXCLUSION,true
530,Ethiopia,1992,1993,Afar,1000,53001000,,0.0137,DISCRIMINATED,false
530,Ethiopia,1992,1993,Anuak,12000,53012000,,0.0007,IRRELEVANT,
530,Ethiopia,1992,1993,Harari,5000,53005000,,0.0004,IRRELEVANT,
530,Ethiopia,1994,1994,Oroma,6000,53006000,,0.3439,JUNIOR PARTNER,false
530,Ethiopia,1994,1994,Amhara,2000,53002000,,0.2695,JUNIOR PARTNER,false
530,Ethiopia,1994,1994,Other Southern Nations,7000,53007000,,0.2024,IRRELEVANT,
530,Ethiopia,1994,1994,Somali (Ogaden),8000,53008000,,0.0622,DISCRIMINATED,false
530,Ethiopia,1994,1994,Tigry,9000,53009000,,0.0608,SENIOR PARTNER,false
530,Ethiopia,1994,1994,Afar,1000,53001000,,0.0173,DISCRIMINATED,false
530,Ethiopia,1994,1994,Beni-Shugal-Gumez,3000,53003000,,0.0106,IRRELEVANT,
530,Ethiopia,1994,1994,Anuak,12000,53012000,,0.0012,IRRELEVANT,
530,Ethiopia,1994,1994,Harari,5000,53005000,,0.0004,IRRELEVANT,
530,Ethiopia,1995,1995,Oroma,6000,53006000,,0.3439,JUNIOR PARTNER,true
530,Ethiopia,1995,1995,Amhara,2000,53002000,,0.2695,JUNIOR PARTNER,true
530,Ethiopia,1995,1995,Other Southern Nations,7000,53007000,,0.2024,IRRELEVANT,
530,Ethiopia,1995,1995,Somali (Ogaden),8000,53008000,,0.0622,DISCRIMINATED,false
530,Ethiopia,1995,1995,Tigry,9000,53009000,,0.0608,SENIOR PARTNER,true
530,Ethiopia,1995,1995,Afar,1000,53001000,,0.0173,DISCRIMINATED,false
530,Ethiopia,1995,1995,Beni-Shugal-Gumez,3000,53003000,,0.0106,IRRELEVANT,
530,Ethiopia,1995,1995,Anuak,12000,53012000,,0.0012,IRRELEVANT,
530,Ethiopia,1995,1995,Harari,5000,53005000,,0.0004,IRRELEVANT,
530,Ethiopia,1996,2003,Oroma,6000,53006000,,0.3439,JUNIOR PARTNER,true
530,Ethiopia,1996,2003,Amhara,2000,53002000,,0.2695,JUNIOR PARTNER,true
530,Ethiopia,1996,2003,Other Southern Nations,7000,53007000,,0.2024,POWERLESS,true
530,Ethiopia,1996,2003,Somali (Ogaden),8000,53008000,,0.0622,DISCRIMINATED,false
530,Ethiopia,1996,2003,Tigry,9000,53009000,,0.0608,SENIOR PARTNER,true
530,Ethiopia,1996,2003,Afar,1000,53001000,,0.0173,DISCRIMINATED,false
530,Ethiopia,1996,2003,Beni-Shugal-Gumez,3000,53003000,,0.0106,POWERLESS,false
530,Ethiopia,1996,2003,Anuak,12000,53012000,,0.0012,IRRELEVANT,
530,Ethiopia,1996,2003,Harari,5000,53005000,,0.0004,POWERLESS,false
530,Ethiopia,2004,2012,Oroma,6000,53006000,,0.3439,JUNIOR PARTNER,true
530,Ethiopia,2004,2012,Amhara,2000,53002000,,0.2695,JUNIOR PARTNER,true
530,Ethiopia,2004,2012,Other Southern Nations,7000,53007000,,0.2024,POWERLESS,true
530,Ethiopia,2004,2012,Somali (Ogaden),8000,53008000,,0.0622,DISCRIMINATED,false
530,Ethiopia,2004,2012,Tigry,9000,53009000,,0.0608,SENIOR PARTNER,true
530,Ethiopia,2004,2012,Afar,1000,53001000,,0.0173,DISCRIMINATED,false
530,Ethiopia,2004,2012,Beni-Shugal-Gumez,3000,53003000,,0.0106,POWERLESS,false
530,Ethiopia,2004,2012,Anuak,12000,53012000,,0.0012,DISCRIMINATED,false
530,Ethiopia,2004,2012,Harari,5000,53005000,,0.0004,POWERLESS,false
530,Ethiopia,2013,2017,Oroma,6000,53006000,,0.3439,JUNIOR PARTNER,true
530,Ethiopia,2013,2017,Amhara,2000,53002000,,0.2695,JUNIOR PARTNER,true
530,Ethiopia,2013,2017,Other Southern Nations,7000,53007000,,0.2024,JUNIOR PARTNER,true
530,Ethiopia,2013,2017,Somali (Ogaden),8000,53008000,,0.0622,DISCRIMINATED,false
530,Ethiopia,2013,2017,Tigry,9000,53009000,,0.0608,SENIOR PARTNER,true
530,Ethiopia,2013,2017,Afar,1000,53001000,,0.0173,DISCRIMINATED,false
530,Ethiopia,2013,2017,Beni-Shugal-Gumez,3000,53003000,,0.0106,POWERLESS,false
530,Ethiopia,2013,2017,Anuak,12000,53012000,,0.0012,DISCRIMINATED,false
530,Ethiopia,2013,2017,Harari,5000,53005000,,0.0004,POWERLESS,false
531,Eritrea,1993,1999,Christians,1000,53101000,,0.48,SENIOR PARTNER,false
531,Eritrea,1993,1999,Other Muslims,2000,53102000,,0.45,JUNIOR PARTNER,false
531,Eritrea,1993,1999,Afar,3000,53103000,,0.05,DISCRIMINATED,false
531,Eritrea,2000,2008,Christians,1000,53101000,,0.48,SENIOR PARTNER,false
531,Eritrea,2000,2008,Other Muslims,2100,53102100,53102000,0.43,JUNIOR PARTNER,false
531,Eritrea,2000,2008,Afar,3000,53103000,,0.05,DISCRIMINATED,false
531,Eritrea,2000,2008,Kunama,2200,53102200,53102000,0.02,DISCRIMINATED,false
531,Eritrea,2009,2017,Christians,1000,53101000,,0.48,SENIOR PARTNER,false
531,Eritrea,2009,2017,Other Muslims,2100,53102100,53102000,0.39,JUNIOR PARTNER,false
531,Eritrea,2009,2017,Afar,3000,53103000,,0.05,DISCRIMINATED,false
531,Eritrea,2009,2017,Saho,2300,53102300,53102000,0.04,DISCRIMINATED,false
531,Eritrea,2009,2017,Kunama,2200,53102200,53102000,0.02,DISCRIMINATED,false
540,Angola,1975,2002,Ovimbundu-Ovambo,5000,54005000,,0.38,DISCRIMINATED,false
540,Angola,1975,2002,Mbundu-Mestico,4000,54004000,,0.26,MONOPOLY,
540,Angola,1975,2002,Bakongo,1000,54001000,,0.13,POWERLESS,false
540,Angola,1975,2002,Lunda-Chokwe,3000,54003000,,0.09,DISCRIMINATED,false
540,Angola,1975,2002,Cabindan Mayombe,2000,54002000,,0.02,POWERLESS,false
540,Angola,2003,2017,Ovimbundu-Ovambo,5000,54005000,,0.38,POWERLESS,false
540,Angola,2003,2017,Mbundu-Mestico,4000,54004000,,0.26,DOMINANT,
540,Angola,2003,2017,Bakongo,1000,54001000,,0.13,POWERLESS,false
540,Angola,2003,2017,Lunda-Chokwe,3000,54003000,,0.09,POWERLESS,false
540,Angola,2003,2017,Cabindan Mayombe,2000,54002000,,0.02,POWERLESS,false
541,Mozambique,1975,2014,Tsonga-Chopi,4000,54104000,,0.287,SENIOR PARTNER,false
541,Mozambique,1975,2014,Shona-Ndau,3000,54103000,,0.098,POWERLESS,false
541,Mozambique,1975,2014,Makonde-Yao,1000,54101000,,0.067,JUNIOR PARTNER,false
541,Mozambique,2015,2017,Tsonga-Chopi,4000,54104000,,0.287,SENIOR PARTNER,false
541,Mozambique,2015,2017,Shona-Ndau,3000,54103000,,0.098,POWERLESS,false
541,Mozambique,2015,2017,Makonde-Yao,1000,54101000,,0.067,SENIOR PARTNER,false
551,Zambia,1964,1965,Bemba speakers,1000,55101000,,0.43,SENIOR PARTNER,false
551,Zambia,1964,1965,Nyanja speakers (Easterners),6000,55106000,,0.3,SENIOR PARTNER,false
551,Zambia,1964,1965,Tonga-Ila-Lenje (Southerners),7000,55107000,,0.12,SENIOR PARTNER,false
551,Zambia,1964,1965,Lozi (Barotse),3000,55103000,,0.08,JUNIOR PARTNER,true
551,Zambia,1964,1965,Luanda (NW Province),4000,55104000,,0.03,JUNIOR PARTNER,false
551,Zambia,1964,1965,Kaonde (NW Province),2000,55102000,,0.02,JUNIOR PARTNER,false
551,Zambia,1964,1965,Luvale (NW Province),5000,55105000,,0.02,JUNIOR PARTNER,false
551,Zambia,1966,2016,Bemba speakers,1000,55101000,,0.43,SENIOR PARTNER,false
551,Zambia,1966,2016,Nyanja speakers (Easterners),6000,55106000,,0.3,SENIOR PARTNER,false
551,Zambia,1966,2016,Tonga-Ila-Lenje (Southerners),7000,55107000,,0.12,SENIOR PARTNER,false
551,Zambia,1966,2016,Lozi (Barotse),3000,55103000,,0.08,JUNIOR PARTNER,false
551,Zambia,1966,2016,Luanda (NW Province),4000,55104000,,0.03,JUNIOR PARTNER,false
551,Zambia,1966,2016,Kaonde (NW Province),2000,55102000,,0.02,JUNIOR PARTNER,false
551,Zambia,1966,2016,Luvale (NW Province),5000,55105000,,0.02,JUNIOR PARTNER,false
551,Zambia,2017,2017,Bemba speakers,1000,55101000,,0.43,SENIOR PARTNER,false
551,Zambia,2017,2017,Nyanja speakers (Easterners),6000,55106000,,0.3,SENIOR PARTNER,false
551,Zambia,2017,2017,Tonga-Ila-Lenje (Southerners),7000,55107000,,0.12,POWERLESS,false
551,Zambia,2017,2017,Lozi (Barotse),3000,55103000,,0.08,JUNIOR PARTNER,false
551,Zambia,2017,2017,Luanda (NW Province),4000,55104000,,0.03,JUNIOR PARTNER,false
551,Zambia,2017,2017,Kaonde (NW Province),2000,55102000,,0.02,JUNIOR PARTNER,false
551,Zambia,2017,2017,Luvale (NW Province),5000,55105000,,0.02,JUNIOR PARTNER,false
552,Zimbabwe,1965,1979,Africans,1000,55201000,,0.97,DISCRIMINATED,false
552,Zimbabwe,1965,1979,White Zimbabweans,2000,55202000,,0.03,MONOPOLY,
552,Zimbabwe,1980,1981,Shona,1200,55201200,55201000,0.77,SENIOR PARTNER,false
552,Zimbabwe,1980,1981,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,JUNIOR PARTNER,false
552,Zimbabwe,1980,1981,White Zimbabweans,2000,55202000,,0.03,JUNIOR PARTNER,false
552,Zimbabwe,1982,1987,Shona (minus Ndau),1220,55201220,55201200,0.74,SENIOR PARTNER,false
552,Zimbabwe,1982,1987,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,DISCRIMINATED,false
552,Zimbabwe,1982,1987,Ndau (Shona sub-group),1210,55201210,55201200,0.03,DISCRIMINATED,false
552,Zimbabwe,1982,1987,White Zimbabweans,2000,55202000,,0.03,JUNIOR PARTNER,false
552,Zimbabwe,1988,1991,Shona (minus Manyika & Ndau),1222,55201222,55201220,0.61,SENIOR PARTNER,false
552,Zimbabwe,1988,1991,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,JUNIOR PARTNER,false
552,Zimbabwe,1988,1991,Manyika (Shona sub-group),1221,55201221,55201220,0.13,DISCRIMINATED,false
552,Zimbabwe,1988,1991,Ndau (Shona sub-group),1210,55201210,55201200,0.03,DISCRIMINATED,false
552,Zimbabwe,1988,1991,White Zimbabweans,2000,55202000,,0.03,JUNIOR PARTNER,false
552,Zimbabwe,1992,1999,Shona,1200,55201200,55201000,0.77,SENIOR PARTNER,false
552,Zimbabwe,1992,1999,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,JUNIOR PARTNER,false
552,Zimbabwe,1992,1999,White Zimbabweans,2000,55202000,,0.03,JUNIOR PARTNER,false
552,Zimbabwe,2000,2008,Shona,1200,55201200,55201000,0.77,DOMINANT,
552,Zimbabwe,2000,2008,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,DISCRIMINATED,false
552,Zimbabwe,2000,2008,White Zimbabweans,2000,55202000,,0.01,DISCRIMINATED,false
552,Zimbabwe,2009,2010,Shona,1200,55201200,55201000,0.77,SENIOR PARTNER,false
552,Zimbabwe,2009,2010,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.2,JUNIOR PARTNER,false
552,Zimbabwe,2009,2010,White Zimbabweans,2000,55202000,,0.01,DISCRIMINATED,false
552,Zimbabwe,2011,2017,Shona,1200,55201200,55201000,0.82,SENIOR PARTNER,false
552,Zimbabwe,2011,2017,Ndebele-Kalanga-(Tonga),1100,55201100,55201000,0.14,JUNIOR PARTNER,false
552,Zimbabwe,2011,2017,White Zimbabweans,2000,55202000,,0.01,DISCRIMINATED,false
